,Cycle,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,G1,H1
,31,2824.20257496549,2593.84490785775,2767.22400634327,2530.08127526314,2659.61160614162,2566.19363949618,2571.80356639463,2560.50170702547,2564.64788346842,6974.17337993676,2616.28533334339,3203.02864811268,2539.96386899679
,32,2826.74362816378,2592.94811372371,2772.36448036922,2535.22475589599,2666.3420395767,2576.98407408706,2573.05340853835,2561.11156878856,2569.16581887642,7590.11341549633,2618.8814700376,3414.92541970443,2540.95231151503
,33,2831.88987376863,2597.62940987374,2779.12611378156,2537.3700767032,2667.5796582591,2577.7478363932,2584.31014756017,2561.03124989348,2573.63116157379,8119.45206235562,2624.52755457019,3675.34531158922,2548.07193153219
,34,2837.63676988135,2601.42708255809,2786.00728557307,2539.72362645604,2678.6793839392,2582.24544192193,2589.54701199978,2566.94969724171,2577.15493136621,8579.25584434343,2631.16624803452,3978.84740291979,2554.4355001188
,35,2843.4987236027,2598.42981791288,2789.50615272373,2541.54231067805,2675.97811687801,2585.77339649276,2592.57293739292,2567.97509608332,2579.67217612034,8985.68928278548,2636.32670851777,4348.06022030755,2555.91012998909
,36,2853.70604408453,2601.19456778503,2786.4123559795,2539.93260420387,2679.41723760218,2585.55027819792,2595.29339967157,2570.18062444144,2583.83160053533,9344.60294194386,2639.06428819692,4796.53934796099,2554.48573380618
,37,2854.47856811788,2607.78567979397,2791.22486821647,2544.96647694708,2685.44632053616,2589.09408427447,2597.00434458637,2572.72943540175,2585.78327387841,9638.46929651749,2645.51180895537,5333.269539417,2558.09379568084
,38,2859.26464750077,2608.79140614336,2801.71690387832,2546.07956336914,2686.31406483236,2591.32605855094,2598.8308730989,2573.87886225282,2588.27745453589,9878.4999952499,2643.28228954678,5939.60444905936,2562.22303754666
,39,2861.30881687282,2612.28535324122,2804.57449197867,2549.73060186869,2687.84231548935,2593.58967878771,2606.32570995873,2580.43135852416,2588.63052662227,10073.8213412904,2649.81214799318,6567.99545028683,2568.11291418515
,40,2874.12722327139,2609.44989728271,2806.76342767738,2551.48210814098,2694.2721553097,2599.4358497149,2603.49215639374,2580.7446784485,2594.20772376549,10233.1599546793,2650.58835414982,7175.72158180487,2567.02500906576
,41,2871.64122214916,2612.11128927338,2812.93945112504,2551.23197158591,2696.12786112706,2601.92790242565,2607.88834825812,2582.30895419174,2593.12715594616,10361.4115715453,2653.0307606099,7715.22472813611,2570.63237697105
,42,2874.0802891432,2616.6098930561,2812.40513590155,2552.0329073786,2694.49662944347,2601.70363309546,2610.48595280242,2587.10153863453,2592.15717433252,10479.171456371,2660.01117787239,8166.65271883175,2570.78510957779
,43,2882.17638743274,2616.95591863291,2817.55300452123,2553.79048237154,2697.50591838212,2607.91941828211,2611.42033184032,2584.70079678664,2593.06513761445,10563.1910260744,2661.83290370861,8502.91899267146,2576.61052894104
,44,2886.01243670191,2621.28737052357,2820.63331859497,2557.63371142405,2700.40528189795,2610.89314484315,2615.5200162821,2590.55886231931,2595.1007563947,10636.7706365558,2664.03385280113,8753.94822103184,2575.29385601866
,45,2889.57453167161,2622.83361433922,2822.31120725275,2558.08014124135,2707.90812115194,2611.38809997788,2616.82564057264,2594.36380909948,2601.24361517869,10699.6872988631,2665.30505640729,8952.65459530321,2583.62580843802
